customerid,loanno,Month,Loan Amount,EMI Amount,Interest Rate (%),Repayment Period (Months),Credit Score,Credit History (Years),Outstanding Balance Amount,Bank Statement,payment
Cus0006,Loan00010,July,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 18, Deposits: 35647.64, Withdrawals: 64633.42",1
Cus0006,Loan00010,August,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 8, Deposits: 94445.83, Withdrawals: 50074.8",1
Cus0006,Loan00010,September,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 5, Deposits: 64584.28, Withdrawals: 27927.71",1
Cus0006,Loan00010,October,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 7, Deposits: 87710.06, Withdrawals: 60373.15",0
Cus0002,Loan00011,January,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 12, Deposits: 93828.62, Withdrawals: 54605.88",1
Cus0002,Loan00011,February,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 7, Deposits: 97176.45, Withdrawals: 78761.11",1
Cus0002,Loan00011,March,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 20, Deposits: 44764.68, Withdrawals: 26930.8",1
Cus0002,Loan00011,April,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 19, Deposits: 83368.91, Withdrawals: 23757.68",1
Cus0002,Loan00011,May,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 6, Deposits: 56953.25, Withdrawals: 62081.11",1
Cus0002,Loan00011,June,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 14, Deposits: 36083.1, Withdrawals: 26082.06",0
Cus0002,Loan00011,July,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 9, Deposits: 89028.98, Withdrawals: 40875.54",1
Cus0002,Loan00011,August,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 11, Deposits: 49285.39, Withdrawals: 36079.96",1
Cus0002,Loan00011,September,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 6, Deposits: 55240.16, Withdrawals: 61689.26",1
Cus0002,Loan00011,October,239319.24,8252.39,8.31,46,804,1,33094.97,"Transactions: 10, Deposits: 61699.5, Withdrawals: 79238.75",0
Cus00015,Loan00012,January,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 14, Deposits: 80554.53, Withdrawals: 30517.42",1
Cus00015,Loan00012,February,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 14, Deposits: 37738.85, Withdrawals: 56982.61",1
Cus00015,Loan00012,March,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 13, Deposits: 73670.46, Withdrawals: 69181.23",1
Cus00015,Loan00012,April,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 20, Deposits: 99989.21, Withdrawals: 25255.34",1
Cus00015,Loan00012,May,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 8, Deposits: 84041.83, Withdrawals: 60644.21",0
Cus00015,Loan00012,June,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 16, Deposits: 55967.38, Withdrawals: 33618.04",1
Cus00015,Loan00012,July,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 14, Deposits: 37431.78, Withdrawals: 47731.63",1
Cus00015,Loan00012,August,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 20, Deposits: 60331.29, Withdrawals: 32076.97",1
Cus00015,Loan00012,September,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 5, Deposits: 77945.86, Withdrawals: 68390.83",1
Cus00015,Loan00012,October,152885.03,5460.18,4.58,43,426,2,56414.5,"Transactions: 11, Deposits: 37524.9, Withdrawals: 72953.01",1
Cus00017,Loan00013,January,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 13, Deposits: 47994.41, Withdrawals: 49589.78",1
Cus00017,Loan00013,February,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 15, Deposits: 43531.81, Withdrawals: 29165.07",1
Cus00017,Loan00013,March,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 17, Deposits: 89056.8, Withdrawals: 45790.68",0
Cus00017,Loan00013,April,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 13, Deposits: 31304.86, Withdrawals: 59759.27",1
Cus00017,Loan00013,May,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 14, Deposits: 84040.67, Withdrawals: 20619.01",1
Cus00017,Loan00013,June,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 13, Deposits: 99349.17, Withdrawals: 58580.58",1
Cus00017,Loan00013,July,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 9, Deposits: 90724.0, Withdrawals: 42127.65",1
Cus00017,Loan00013,August,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 14, Deposits: 74816.32, Withdrawals: 56995.6",1
Cus00017,Loan00013,September,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 17, Deposits: 76978.39, Withdrawals: 49988.45",1
Cus00017,Loan00013,October,265023.19,4732.56,4.28,22,776,7,65362.73,"Transactions: 20, Deposits: 75160.82, Withdrawals: 45411.68",0
Cus00010,Loan00014,January,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 20, Deposits: 59834.87, Withdrawals: 66588.02",1
Cus00010,Loan00014,February,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 9, Deposits: 90894.55, Withdrawals: 51355.79",1
Cus00010,Loan00014,March,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 6, Deposits: 84212.63, Withdrawals: 60591.43",1
Cus00010,Loan00014,April,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 13, Deposits: 52950.14, Withdrawals: 64081.22",1
Cus00010,Loan00014,May,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 12, Deposits: 36355.56, Withdrawals: 42972.6",1
Cus00010,Loan00014,June,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 17, Deposits: 67718.81, Withdrawals: 31644.34",0
Cus00010,Loan00014,July,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 18, Deposits: 65510.4, Withdrawals: 67329.98",1
Cus00010,Loan00014,August,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 13, Deposits: 81704.37, Withdrawals: 71586.82",1
Cus00010,Loan00014,September,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 20, Deposits: 44456.03, Withdrawals: 56675.24",1
Cus00010,Loan00014,October,140392.04,3190.73,5.38,23,535,2,116345.12,"Transactions: 14, Deposits: 74785.74, Withdrawals: 70032.84",1
Cus00014,Loan00015,January,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 13, Deposits: 40071.79, Withdrawals: 51244.18",1
Cus00014,Loan00015,February,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 14, Deposits: 56431.14, Withdrawals: 29756.21",1
Cus00014,Loan00015,March,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 19, Deposits: 49091.61, Withdrawals: 31282.43",0
Cus00014,Loan00015,April,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 7, Deposits: 54770.33, Withdrawals: 46518.04",1
Cus00014,Loan00015,May,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 8, Deposits: 49822.9, Withdrawals: 33895.11",1
Cus00014,Loan00015,June,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 11, Deposits: 62512.96, Withdrawals: 21240.44",1
Cus00014,Loan00015,July,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 6, Deposits: 78047.06, Withdrawals: 49211.29",1
Cus00014,Loan00015,August,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 19, Deposits: 82455.44, Withdrawals: 26901.91",1
Cus00014,Loan00015,September,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 14, Deposits: 97675.43, Withdrawals: 24317.04",0
Cus00014,Loan00015,October,124090.89,4431.82,5.29,47,389,1,57878.49,"Transactions: 6, Deposits: 79992.86, Withdrawals: 41864.54",1
Cus0007,Loan00016,January,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 20, Deposits: 52139.93, Withdrawals: 48571.22",1
Cus0007,Loan00016,February,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 7, Deposits: 52295.18, Withdrawals: 33755.08",1
Cus0007,Loan00016,March,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 11, Deposits: 70727.66, Withdrawals: 23530.91",0
Cus0007,Loan00016,April,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 7, Deposits: 55336.52, Withdrawals: 42056.73",1
Cus0007,Loan00016,May,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 19, Deposits: 97663.96, Withdrawals: 32147.97",1
Cus0007,Loan00016,June,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 13, Deposits: 77389.44, Withdrawals: 71136.83",1
Cus0007,Loan00016,July,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 16, Deposits: 33322.39, Withdrawals: 62921.25",1
Cus0007,Loan00016,August,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 5, Deposits: 97388.57, Withdrawals: 33241.08",1
Cus0007,Loan00016,September,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 7, Deposits: 34990.2, Withdrawals: 52353.67",1
Cus0007,Loan00016,October,290058.06,12085.75,6.03,12,403,11,229412.37,"Transactions: 16, Deposits: 48921.86, Withdrawals: 46794.0",0
Cus0001,Loan00017,January,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 17, Deposits: 90854.3, Withdrawals: 31417.01",1
Cus0001,Loan00017,February,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 17, Deposits: 67713.14, Withdrawals: 79300.48",1
Cus0001,Loan00017,March,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 16, Deposits: 40506.2, Withdrawals: 31815.13",1
Cus0001,Loan00017,April,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 15, Deposits: 86979.91, Withdrawals: 74392.84",0
Cus0001,Loan00017,May,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 19, Deposits: 62737.92, Withdrawals: 27633.59",1
Cus0001,Loan00017,June,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 19, Deposits: 67595.47, Withdrawals: 32630.59",1
Cus0001,Loan00017,July,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 14, Deposits: 81809.57, Withdrawals: 76821.87",1
Cus0001,Loan00017,August,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 15, Deposits: 54431.48, Withdrawals: 41814.67",0
Cus0001,Loan00017,September,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 5, Deposits: 42018.56, Withdrawals: 62744.46",1
Cus0001,Loan00017,October,339063.66,10274.66,7.73,27,588,5,46726.52,"Transactions: 8, Deposits: 78304.13, Withdrawals: 56642.14",1
Cus00016,Loan00018,January,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 18, Deposits: 69994.78, Withdrawals: 61608.73",1
Cus00016,Loan00018,February,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 18, Deposits: 66014.04, Withdrawals: 40954.7",1
Cus00016,Loan00018,March,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 19, Deposits: 55226.17, Withdrawals: 29860.42",0
Cus00016,Loan00018,April,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 7, Deposits: 70879.55, Withdrawals: 60129.91",1
Cus00016,Loan00018,May,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 18, Deposits: 90436.75, Withdrawals: 50240.55",1
Cus00016,Loan00018,June,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 16, Deposits: 44483.88, Withdrawals: 28231.49",1
Cus00016,Loan00018,July,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 11, Deposits: 51339.95, Withdrawals: 76804.36",1
Cus00016,Loan00018,August,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 5, Deposits: 75149.1, Withdrawals: 64985.55",1
Cus00016,Loan00018,September,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 12, Deposits: 49880.74, Withdrawals: 58317.23",1
Cus00016,Loan00018,October,356611.91,13207.85,7.74,20,683,10,101265.27,"Transactions: 8, Deposits: 39304.96, Withdrawals: 58725.38",0
Cus00020,Loan00019,January,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 16, Deposits: 54303.54, Withdrawals: 33288.36",0
Cus00020,Loan00019,February,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 9, Deposits: 72132.99, Withdrawals: 34176.26",1
Cus00020,Loan00019,March,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 8, Deposits: 83392.0, Withdrawals: 36632.01",1
Cus00020,Loan00019,April,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 8, Deposits: 38820.12, Withdrawals: 71289.14",1
Cus00020,Loan00019,May,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 10, Deposits: 86987.22, Withdrawals: 46069.84",1
Cus00020,Loan00019,June,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 8, Deposits: 94930.5, Withdrawals: 56903.91",0
Cus00020,Loan00019,July,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 19, Deposits: 37195.48, Withdrawals: 58472.8",1
